InventoryId,Store,Brand,Description,Size,SalesQuantity,SalesDollars,SalesPrice,SalesDate,Volume,Classification,ExciseTax,VendorNo,VendorName
25_CAERSHIRE_4882,25,4882,Arrow Coffee Brandy,750mL,1,6.49,6.49,1/3/2016,750,1,0.79,8352,LUXCO INC                  
50_MOUNTMEND_4989,50,4989,Martell VS Cognac,750mL,2,45.98,22.99,1/22/2016,750,1,1.57,17035,PERNOD RICARD USA          
51_ABERDEEN_6499,51,6499,Kinky Liqueur,750mL,2,33.98,16.99,1/24/2016,750,1,1.57,7153,PINE STATE TRADING CO      
34_PITMERDEN_5365,34,5365,Kahlua,750mL,7,132.93,18.99,1/1/2016,750,1,5.51,17035,PERNOD RICARD USA          
3_HORNSEY_1867,3,1867,Jack Daniels Tennessee Honey,50mL,4,11.96,2.99,1/15/2016,50,1,0.21,1128,BROWN-FORMAN CORP          
13_TARMSWORTH_8265,13,8265,Cockburns Fine Ruby Port,750mL,1,9.99,9.99,1/12/2016,750,2,0.11,7240,"PREMIUM PORT WINES, INC.   "
15_WANBORNE_8203,15,8203,Grand Marnier,50mL,1,2.99,2.99,1/30/2016,50,1,0.05,8112,MOET HENNESSY USA INC      
16_LUNDY_18856,16,18856,Barefoot Refresh Sweet White,750mL,1,5.99,5.99,1/1/2016,750,2,0.11,3252,E & J GALLO WINERY         
35_HALIVAARA_2114,35,2114,Black Velvet Canadian Whisky,1.75L,3,38.97,12.99,1/17/2016,1750,1,5.51,1392,CONSTELLATION BRANDS INC   
60_IRRAGIN_3910,60,3910,Hornitos Plata Tequila,375mL,1,11.49,11.49,1/25/2016,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    
44_PORTHCRAWL_3502,44,3502,Pinnacle Vodka,750mL,1,10.99,10.99,1/29/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
59_CLAETHORPES_35914,59,35914,Stone Cellars Chard,1.5L,3,23.97,7.99,1/14/2016,1500,2,0.68,9819,TREASURY WINE ESTATES      
76_DONCASTER_34850,76,34850,Bargetto Chaucer's Hney Mead,750mL,1,13.99,13.99,1/22/2016,750,2,0.11,7153,PINE STATE TRADING CO      
11_CARDEND_1276,11,1276,Jack Daniels Single Barrel,50mL,1,4.99,4.99,2/26/2016,50,1,0.05,1128,BROWN-FORMAN CORP          
6_GOULCREST_15875,6,15875,Ranga Ranga Svgn Bl,750mL,1,11.99,11.99,1/4/2016,750,2,0.11,10754,PERFECTA WINES             
54_GUTHRAM_3913,54,3913,Svedka Vodka,1.75L,4,71.96,17.99,1/4/2016,1750,1,7.35,1392,CONSTELLATION BRANDS INC   
62_KILMARNOCK_5285,62,5285,Jacquin Triple Sec,750mL,1,7.99,7.99,1/3/2016,750,1,0.79,4380,CHARLES JACQUIN ET CIE INC 
34_PITMERDEN_5921,34,5921,RumChata Liqueur,750mL,2,47.98,23.99,1/23/2016,750,1,1.57,6213,MHW LTD                    
11_CARDEND_1346,11,1346,Knob Creek Bourbon,750mL,2,59.98,29.99,1/7/2016,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    
15_WANBORNE_7996,15,7996,Stock Italian Sweet Vermouth,750mL,1,6.49,6.49,2/24/2016,750,2,0.11,8352,LUXCO INC                  
15_WANBORNE_5058,15,5058,Capt Morgan Long Isl Tea RTD,1.75L,3,53.97,17.99,1/9/2016,1750,1,5.51,3960,DIAGEO NORTH AMERICA INC   
67_EANVERNESS_4478,67,4478,Myers Original Dark Rum,750mL,2,35.98,17.99,1/30/2016,750,1,1.57,3960,DIAGEO NORTH AMERICA INC   
10_HORNSEY_44413,10,44413,Spasso Pnt Grigio Veneto,750mL,1,4.99,4.99,2/29/2016,750,2,0.11,9552,M S WALKER INC             
50_MOUNTMEND_3728,50,3728,Absolut Citron,1.75L,2,51.98,25.99,1/6/2016,1750,1,3.67,17035,PERNOD RICARD USA          
68_SOLARIS_15552,68,15552,Senda 66 Tempranillo,750mL,1,11.99,11.99,1/9/2016,750,2,0.11,10754,PERFECTA WINES             
78_EASTHAVEN_24002,78,24002,Corbett Canyon Chard,1.5L,4,27.96,6.99,1/26/2016,1500,2,0.9,9815,WINE GROUP INC             
7_STANMORE_11141,7,11141,C K Mondavi Chard,1.5L,4,39.96,9.99,1/20/2016,1500,2,0.9,2000,SOUTHERN WINE & SPIRITS NE 
75_BARNCOMBE_4343,75,4343,Cruzan Blueberry Lemonade,750mL,1,9.99,9.99,1/24/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
15_WANBORNE_8345,15,8345,R M Woodbridge Cab Svgn Cal,750mL,6,47.94,7.99,1/15/2016,750,2,0.68,1392,CONSTELLATION BRANDS INC   
4_EANVERNESS_32989,4,32989,Barefoot Cab Svgn Cal,1.5L,1,10.99,10.99,1/11/2016,1500,2,0.22,3252,E & J GALLO WINERY         
37_PAETHSMOUTH_2114,37,2114,Black Velvet Canadian Whisky,1.75L,1,12.99,12.99,1/9/2016,1750,1,1.84,1392,CONSTELLATION BRANDS INC   
70_KELD_497,70,497,Capt Morgan Spiced Rum,Liter,2,39.98,19.99,1/16/2016,1000,1,2.1,3960,DIAGEO NORTH AMERICA INC   
74_PAENTMARWY_6876,74,6876,Sutter Home Clsc Chard,187mL 4 Pk,1,5.99,5.99,1/15/2016,187,2,0.03,8892,TRINCHERO FAMILY ESTATES   
74_PAENTMARWY_3197,74,3197,Pinnacle Vodka 100 Proof,1.75L,1,20.99,20.99,1/3/2016,1750,1,1.84,12546,JIM BEAM BRANDS COMPANY    
14_BROMWICH_4130,14,4130,Kraken Black Spiced Rum,375mL,1,10.99,10.99,1/10/2016,375,1,0.39,7245,PROXIMO SPIRITS INC.       
59_CLAETHORPES_16326,59,16326,Black Box Cab Svgn,500mL,1,4.99,4.99,1/9/2016,500,2,0.08,1392,CONSTELLATION BRANDS INC   
13_TARMSWORTH_6655,13,6655,Carlo Rossi Paisano Calif,1.5L,6,41.94,6.99,2/25/2016,1500,2,1.35,3252,E & J GALLO WINERY         
13_TARMSWORTH_1663,13,1663,Jim Beam Maple,50mL,2,1.98,0.99,1/30/2016,50,1,0.1,12546,JIM BEAM BRANDS COMPANY    
20_BREDWARDINE_5058,20,5058,Capt Morgan Long Isl Tea RTD,1.75L,1,17.99,17.99,1/29/2016,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   
18_FURNESS_5404,18,5404,E & J Superior Rsv VSOP,375mL,1,5.49,5.49,2/9/2016,375,1,0.39,3252,E & J GALLO WINERY         
38_GOULCREST_4343,38,4343,Cruzan Blueberry Lemonade,750mL,1,9.99,9.99,1/14/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
76_DONCASTER_14622,76,14622,La Marca Prosecco,750mL,9,125.91,13.99,1/22/2016,750,2,1.01,3252,E & J GALLO WINERY         
22_SHARNWICK_6590,22,6590,Almaden B/B Wh Znfdl Cal,5L,3,50.97,16.99,1/9/2016,5000,2,2.25,9815,WINE GROUP INC             
23_ARBINGTON_4370,23,4370,Ron Virgin White,1.75L,1,12.99,12.99,1/17/2016,1750,1,1.84,9552,M S WALKER INC             
62_KILMARNOCK_3625,62,3625,Absolut 80 Proof,750mL,4,71.96,17.99,1/9/2016,750,1,3.15,17035,PERNOD RICARD USA          
11_CARDEND_4447,11,4447,Patron XO Cafe Dark Cocoa,750mL,2,51.98,25.99,1/3/2016,750,1,1.57,9165,ULTRA BEVERAGE COMPANY LLP 
73_DONCASTER_37904,73,37904,Trapiche Broquel Mndz Malbec,750mL,2,23.98,11.99,1/7/2016,750,2,0.22,9815,WINE GROUP INC             
7_STANMORE_40666,7,40666,Bolla Chianti,750mL,12,119.88,9.99,1/4/2016,750,2,1.35,516,BANFI PRODUCTS CORP        
65_LUTON_5828,65,5828,Ryans Irish Cream,750mL,3,32.97,10.99,1/30/2016,750,1,2.36,8004,SAZERAC CO INC             
54_GUTHRAM_38888,54,38888,Justin Cab Svgn Paso Robles,750mL,1,27.99,27.99,1/27/2016,750,2,0.11,9552,M S WALKER INC             
16_LUNDY_3913,16,3913,Svedka Vodka,1.75L,1,17.99,17.99,1/9/2016,1750,1,1.84,1392,CONSTELLATION BRANDS INC   
53_HILLFAR_1379,53,1379,Jim Beam Traveler,750mL,1,14.49,14.49,1/12/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
60_IRRAGIN_21277,60,21277,Nicholson Ranch Chard Son Ct,750mL,2,39.98,19.99,1/23/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
33_HORNSEY_3345,33,3345,Bombay Sapphire Gin,50mL,6,11.94,1.99,1/30/2016,50,1,0.32,480,BACARDI USA INC            
48_NORFOLK_10420,48,10420,Barefoot Moscato Cal,750mL,1,6.29,6.29,1/22/2016,750,2,0.11,3252,E & J GALLO WINERY         
22_SHARNWICK_16794,22,16794,Freakshow Cab Svgn,750mL,1,17.99,17.99,1/2/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
41_LARNWICK_4265,41,4265,Capt Morgan Spiced Rum,375mL,1,10.99,10.99,1/23/2016,375,1,0.39,3960,DIAGEO NORTH AMERICA INC   
73_DONCASTER_20968,73,20968,Ninety+Cellars Lot 113 B Red,750mL,4,35.96,8.99,1/15/2016,750,2,0.45,4950,LATITUDE BEVERAGE COMPANY  
74_PAENTMARWY_3154,74,3154,New Amsterdam Peach Vodka,750mL,1,9.99,9.99,1/30/2016,750,1,0.79,3252,E & J GALLO WINERY         
44_PORTHCRAWL_44511,44,44511,MacMurray Ranch C Cst Pnt Nr,750mL,2,33.98,16.99,1/11/2016,750,2,0.22,3252,E & J GALLO WINERY         
7_STANMORE_8159,7,8159,Jose Cuervo Especial,1.75L,2,51.98,25.99,1/10/2016,1750,1,3.67,7245,PROXIMO SPIRITS INC.       
42_BLACK HOLLOW_35413,42,35413,Yellow Tail Shiraz Ausl,750mL,2,13.98,6.99,1/30/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
33_HORNSEY_1382,33,1382,Makers 46,750mL,1,41.99,41.99,1/9/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
47_PELLA'S WISH_19164,47,19164,Tracia Malbec,750mL,1,5.99,5.99,1/10/2016,750,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP 
62_KILMARNOCK_5694,62,5694,Ice Box Mudslide,1.75L,1,11.99,11.99,1/15/2016,1750,1,1.84,8004,SAZERAC CO INC             
14_BROMWICH_5489,14,5489,DeKuyper Hot Damn Cinnamon,750mL,2,21.98,10.99,2/20/2016,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    
76_DONCASTER_3662,76,3662,Three Olives Blueberry Vodka,750mL,1,11.99,11.99,1/1/2016,750,1,0.79,7245,PROXIMO SPIRITS INC.       
66_EANVERNESS_11219,66,11219,Josh Cellars Cab Svgn Sonoma,750mL,5,74.95,14.99,1/30/2016,750,2,0.56,4425,MARTIGNETTI COMPANIES
38_GOULCREST_4938,38,4938,Kapali Coffee,750mL,2,17.98,8.99,1/16/2016,750,1,1.57,8004,SAZERAC CO INC             
47_PELLA'S WISH_3221,47,3221,Pinnacle Raspberry Vodka,750mL,1,10.99,10.99,1/27/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
11_CARDEND_2788,11,2788,Laphroaig 10 Yr Single Malt,750mL,2,89.98,44.99,1/30/2016,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    
38_GOULCREST_32648,38,32648,Beringer Classic Wh Znfdl,1.5L,13,103.87,7.99,1/2/2016,1500,2,2.92,9819,TREASURY WINE ESTATES      
79_BALLYMENA_676,79,676,Pinnacle Whipped Vodka,750mL,1,12.99,12.99,1/16/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
54_GUTHRAM_4268,54,4268,Capt Morgan Private Stock,750mL,1,22.99,22.99,1/16/2016,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   
73_DONCASTER_39631,73,39631,Red Truck Cal,750mL,1,7.99,7.99,1/26/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
30_CULCHETH_2114,30,2114,Black Velvet Canadian Whisky,1.75L,3,38.97,12.99,1/15/2016,1750,1,5.51,1392,CONSTELLATION BRANDS INC   
79_BALLYMENA_14393,79,14393,Ch Montaud Cotes de Prov Rse,750mL,1,11.99,11.99,1/22/2016,750,2,0.11,7153,PINE STATE TRADING CO      
33_HORNSEY_8110,33,8110,Tribuno Dry Vermouth,1.5L,1,8.99,8.99,1/13/2016,1500,1,1.57,9815,WINE GROUP INC             
73_DONCASTER_22289,73,22289,Pichot Dom Moriette Vouvray,750mL,1,14.99,14.99,1/29/2016,750,2,0.11,1587,VINEYARD BRANDS INC        
69_MOUNTMEND_6461,69,6461,Blood Orange Liqueur,750mL,3,43.47,14.49,1/31/2016,750,1,2.36,9165,ULTRA BEVERAGE COMPANY LLP 
15_WANBORNE_3693,15,3693,Smirnoff Ruby Red Grapefruit,750mL,1,12.99,12.99,2/2/2016,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   
17_OLDHAM_8118,17,8118,Mr Boston Blackberry Brandy,750mL,1,6.99,6.99,1/18/2016,750,1,0.79,660,SAZERAC NORTH AMERICA INC. 
1_HARDERSFIELD_4066,1,4066,Bacardi Oakheart Spiced Rum,1.75L,1,19.99,19.99,2/25/2016,1750,1,1.84,480,BACARDI USA INC            
69_MOUNTMEND_45332,69,45332,Cono Sur Pnt Nr Rapel,750mL,3,20.97,6.99,1/29/2016,750,2,0.34,1587,VINEYARD BRANDS INC        
38_GOULCREST_8910,38,8910,Finlandia Vodka,50mL,27,26.73,0.99,1/13/2016,50,1,1.42,1128,BROWN-FORMAN CORP          
24_PALPERROTH_3505,24,3505,Tito's Handmade Vodka,750mL,2,43.98,21.99,1/24/2016,750,1,1.57,4425,MARTIGNETTI COMPANIES
68_SOLARIS_31202,68,31202,Beringer Fndrs Est Chard,750mL,2,17.98,8.99,1/2/2016,750,2,0.22,9819,TREASURY WINE ESTATES      
21_BALERNO_6349,21,6349,Glen Ellen Chard RSV,1.5L,8,55.92,6.99,1/28/2016,1500,2,1.8,9815,WINE GROUP INC             
19_WINTERVALE_11213,19,11213,Meiomi Pnt Nr,750mL,2,43.98,21.99,1/15/2016,750,2,0.22,1392,CONSTELLATION BRANDS INC   
2_ASHBORNE_8068,2,8068,Absolut 80 Proof,1.75L,4,103.96,25.99,1/13/2016,1750,1,7.35,17035,PERNOD RICARD USA          
76_DONCASTER_20699,76,20699,Fantini Monteplciano D'Abruz,750mL,1,11.99,11.99,1/18/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
54_GUTHRAM_12994,54,12994,Acrobat Pnt Gris Oregon,750mL,2,23.98,11.99,1/11/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
34_PITMERDEN_15426,34,15426,Voga Moscato Italia,750mL,1,11.99,11.99,1/31/2016,750,2,0.11,9552,M S WALKER INC             
27_MOUNTMEND_7878,27,7878,Allens Coffee Brandy,1.75L,2,31.98,15.99,1/29/2016,1750,1,3.67,9552,M S WALKER INC             
4_EANVERNESS_4181,4,4181,Calypso Spiced Rum,1.75L,3,35.97,11.99,1/2/2016,1750,1,5.51,660,SAZERAC NORTH AMERICA INC. 
33_HORNSEY_22583,33,22583,Cambria Julias Vyd Pnt Nr,750mL,1,19.99,19.99,1/23/2016,750,2,0.11,9552,M S WALKER INC             
38_GOULCREST_2721,38,2721,Johnnie Walker Green Label,750mL,1,59.99,59.99,1/6/2016,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   
50_MOUNTMEND_5270,50,5270,Southern Comfort,50mL,1,1.99,1.99,1/6/2016,50,1,0.05,1128,BROWN-FORMAN CORP          
54_GUTHRAM_6937,54,6937,Cavit Pinot Grigio,1.5L,1,14.99,14.99,1/30/2016,1500,2,0.22,6785,PALM BAY INTERNATIONAL INC 
6_GOULCREST_3899,6,3899,Platinum 7X Distilled Vodka,375mL,1,3.99,3.99,1/3/2016,375,1,0.39,8004,SAZERAC CO INC             
15_WANBORNE_1867,15,1867,Jack Daniels Tennessee Honey,50mL,1,2.99,2.99,1/5/2016,50,1,0.05,1128,BROWN-FORMAN CORP          
54_GUTHRAM_2152,54,2152,New Amsterdam Gin,750mL,1,9.99,9.99,1/8/2016,750,1,0.79,3252,E & J GALLO WINERY         
34_PITMERDEN_19947,34,19947,Josh Cellars Svgn Bl,750mL,2,27.98,13.99,1/16/2016,750,2,0.22,4425,MARTIGNETTI COMPANIES
12_LEESIDE_4563,12,4563,Christian Bros Brandy,1.75L,1,16.99,16.99,1/17/2016,1750,1,1.84,3924,HEAVEN HILL DISTILLERIES   
76_DONCASTER_44943,76,44943,Sanford Santa Barbara Chard,750mL,1,15.99,15.99,1/26/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
46_TYWARDREATH_2127,46,2127,Canadian Ltd,1.75L,3,31.47,10.49,1/1/2016,1750,1,5.51,660,SAZERAC NORTH AMERICA INC. 
40_BULLMAR_4261,40,4261,Capt Morgan Spiced Rum,1.75L,9,197.91,21.99,1/30/2016,1750,1,16.54,3960,DIAGEO NORTH AMERICA INC   
56_BEGGAR'S HOLE_1892,56,1892,Yukon Jack,50mL,4,3.96,0.99,1/8/2016,50,1,0.21,3960,DIAGEO NORTH AMERICA INC   
9_BLACKPOOL_8725,9,8725,Chambord Royale de France,375mL,1,17.99,17.99,1/22/2016,375,1,0.39,1128,BROWN-FORMAN CORP          
22_SHARNWICK_6145,22,6145,Marcus James Cab Svgn Mendza,1.5L,1,8.99,8.99,1/27/2016,1500,2,0.22,1392,CONSTELLATION BRANDS INC   
22_SHARNWICK_3636,22,3636,Dr McGillicuddy's Mentholmnt,375mL,6,38.94,6.49,1/26/2016,375,1,2.36,8004,SAZERAC CO INC             
52_GRAYCOTT_3896,52,3896,Zhenka Vodka,375mL,1,3.29,3.29,1/18/2016,375,1,0.39,9552,M S WALKER INC             
20_BREDWARDINE_3158,20,3158,Pinnacle Tropical Punch,1.75L,2,33.98,16.99,1/29/2016,1750,1,3.67,12546,JIM BEAM BRANDS COMPANY    
38_GOULCREST_17596,38,17596,Pink Flamingo Rose,750mL,2,27.98,13.99,1/12/2016,750,2,0.22,1601,VRANKEN AMERICA            
31_HORNSEY_4563,31,4563,Christian Bros Brandy,1.75L,1,16.99,16.99,1/7/2016,1750,1,1.84,3924,HEAVEN HILL DISTILLERIES   
70_KELD_37731,70,37731,Corbett Canyon Chard,3L,1,12.99,12.99,1/8/2016,3000,2,0.45,9815,WINE GROUP INC             
73_DONCASTER_16568,73,16568,Moonlight Meadery Sumptuous,375mL,1,12.99,12.99,1/30/2016,375,2,0.06,6215,MOONLIGHT MEADERY          
20_BREDWARDINE_5170,20,5170,Dr McGillicuddy's Apple Pie,750mL,2,27.98,13.99,1/15/2016,750,1,1.57,8004,SAZERAC CO INC             
55_DRY GULCH_14805,55,14805,Ninety+Cellars Lot 23 Malbec,750mL,1,8.99,8.99,1/5/2016,750,2,0.11,4950,LATITUDE BEVERAGE COMPANY  
77_TAMWORTH_3683,77,3683,Stolichnaya Ohranj,750mL,1,17.99,17.99,1/22/2016,750,1,0.79,8664,"STOLI GROUP,(USA) LLC      "
6_GOULCREST_861,6,861,Barton Gin,Liter,3,19.47,6.49,1/14/2016,1000,1,3.15,660,SAZERAC NORTH AMERICA INC. 
17_OLDHAM_2585,17,2585,Jameson Irish Whiskey,750mL,2,47.98,23.99,1/16/2016,750,1,1.57,17035,PERNOD RICARD USA          
1_HARDERSFIELD_27350,1,27350,Almaden Cab Svgn Cal B/B,5L,1,15.99,15.99,2/27/2016,5000,2,0.75,9815,WINE GROUP INC             
46_TYWARDREATH_3545,46,3545,Ketel One Vodka,1.75L,4,119.96,29.99,1/22/2016,1750,1,7.35,3960,DIAGEO NORTH AMERICA INC   
49_GARIGILL_3162,49,3162,Burnett's Peach Vodka,50mL,1,0.99,0.99,1/1/2016,50,1,0.05,3924,HEAVEN HILL DISTILLERIES   
10_HORNSEY_6692,10,6692,Jaboulet Cotes du Rhone Par,750mL,1,9.95,9.95,1/13/2016,750,2,0.11,9744,FREDERICK WILDMAN & SONS   
66_EANVERNESS_8458,66,8458,Agave Underground Tequila,750mL,1,39.99,39.99,1/16/2016,750,1,0.79,10754,PERFECTA WINES             
67_EANVERNESS_2418,67,2418,Crown Royal Regal Apple,750mL,2,45.98,22.99,1/14/2016,750,1,1.57,3960,DIAGEO NORTH AMERICA INC   
78_EASTHAVEN_24829,78,24829,Cecchi Chianti Classico,750mL,1,10.99,10.99,1/11/2016,750,2,0.11,9165,ULTRA BEVERAGE COMPANY LLP 
69_MOUNTMEND_3488,69,3488,Tanqueray,750mL,1,21.99,21.99,1/18/2016,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   
69_MOUNTMEND_46098,69,46098,Ch Ste Michelle Rsl Dry Colu,750mL,1,11.99,11.99,1/21/2016,750,2,0.11,8673,STE MICHELLE WINE ESTATES  
72_HARDERSFIELD_5254,72,5254,DeKuyper Buttershots Schnpps,750mL,1,10.99,10.99,1/1/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
10_HORNSEY_20406,10,20406,Tenuta Santo Pietro Percept,750mL,1,21.99,21.99,1/13/2016,750,2,0.11,7255,PSP WINES 
74_PAENTMARWY_4682,74,4682,Courvoisier VSOP Cognac,750mL,1,34.99,34.99,1/6/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
16_LUNDY_27854,16,27854,F Coppola Black Label Claret,750mL,2,25.9,12.95,2/6/2016,750,2,0.22,2000,SOUTHERN WINE & SPIRITS NE 
12_LEESIDE_17177,12,17177,Beringer Classic Merlot,1.5L,2,19.98,9.99,2/10/2016,1500,2,0.45,9819,TREASURY WINE ESTATES      
10_HORNSEY_5401,10,5401,Jagermeister Liqueur,200mL,2,11.98,5.99,1/13/2016,200,1,0.42,3089,SIDNEY FRANK IMPORTING CO  
34_PITMERDEN_33582,34,33582,Villa Cornaro Prosecco Del,750mL,1,12.99,12.99,1/17/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
17_OLDHAM_6682,17,6682,R M Woodbridge Chard Cal,1.5L,1,11.99,11.99,2/15/2016,1500,2,0.22,1392,CONSTELLATION BRANDS INC   
66_EANVERNESS_23235,66,23235,Mud House Svgn Bl,750mL,12,131.88,10.99,1/16/2016,750,2,1.35,2000,SOUTHERN WINE & SPIRITS NE 
66_EANVERNESS_18788,66,18788,Triton Avante Mencia,750mL,1,14.99,14.99,1/16/2016,750,2,0.11,9552,M S WALKER INC             
9_BLACKPOOL_6234,9,6234,C Y Toro Front Cab/Merlot,1.5L,1,7.99,7.99,1/23/2016,1500,2,0.22,516,BANFI PRODUCTS CORP        
17_OLDHAM_6575,17,6575,Kendall Jackson RSV Svgn Bl,750mL,1,11.99,11.99,1/9/2016,750,2,0.11,10000,MAJESTIC FINE WINES        
28_LARNWICK_3696,28,3696,Gilbeys Vodka,1.75L,1,10.49,10.49,1/17/2016,1750,1,1.84,12546,JIM BEAM BRANDS COMPANY    
19_WINTERVALE_5457,19,5457,After Shock Hot & Cool Cinmn,50mL,1,1.99,1.99,1/18/2016,50,1,0.05,12546,JIM BEAM BRANDS COMPANY    
9_BLACKPOOL_3488,9,3488,Tanqueray,750mL,2,43.98,21.99,1/5/2016,750,1,1.57,3960,DIAGEO NORTH AMERICA INC   
71_CLARCTON_2973,71,2973,Eagle Rare Single Barrel Bo,750mL,1,27.99,27.99,1/10/2016,750,1,0.79,8004,SAZERAC CO INC             
51_ABERDEEN_6213,51,6213,Taylor Red Port,1.5L,1,7.99,7.99,1/17/2016,1500,2,0.22,1392,CONSTELLATION BRANDS INC   
32_MOUNTMEND_31320,32,31320,La Vieille Ferme Rose Vntoux,750mL,1,8.99,8.99,1/24/2016,750,2,0.11,1587,VINEYARD BRANDS INC        
59_CLAETHORPES_5364,59,5364,Kahlua,1.75L,2,59.98,29.99,1/2/2016,1750,1,3.67,17035,PERNOD RICARD USA          
39_EASTHALLOW_28147,39,28147,Kris Pnt Grigio Alto Adige,750mL,2,25.98,12.99,1/28/2016,750,2,0.22,2000,SOUTHERN WINE & SPIRITS NE 
71_CLARCTON_8424,71,8424,1800 Coconut Tequila,750mL,1,26.99,26.99,1/31/2016,750,1,0.79,7245,PROXIMO SPIRITS INC.       
14_BROMWICH_3568,14,3568,Pearl Cucumber Vodka,50mL,2,1.98,0.99,1/22/2016,50,1,0.1,8352,LUXCO INC                  
42_BLACK HOLLOW_1962,42,1962,Jim Beam Apple,750mL,1,14.49,14.49,1/26/2016,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    
49_GARIGILL_5491,49,5491,Rumpleminze,50mL,9,17.91,1.99,1/6/2016,50,1,0.47,3960,DIAGEO NORTH AMERICA INC   
76_DONCASTER_3764,76,3764,Patron Reposado Tequila,375mL,1,26.99,26.99,1/3/2016,375,1,0.39,9165,ULTRA BEVERAGE COMPANY LLP 
1_HARDERSFIELD_4798,1,4798,Sambuca Romana Liqueur,50mL,1,1.99,1.99,2/24/2016,50,1,0.05,3960,DIAGEO NORTH AMERICA INC   
1_HARDERSFIELD_7991,1,7991,Stock Italian X Dry Vermouth,1.5L,1,9.99,9.99,2/15/2016,1500,1,1.57,8352,LUXCO INC                  
79_BALLYMENA_5735,79,5735,Malibu Rum,750mL,2,25.98,12.99,1/30/2016,750,1,1.57,17035,PERNOD RICARD USA          
13_TARMSWORTH_6960,13,6960,Cooks Brut,750mL,1,7.99,7.99,1/28/2016,750,2,0.11,1392,CONSTELLATION BRANDS INC   
11_CARDEND_24310,11,24310,Hi! Prosecco,750mL,1,12.99,12.99,1/21/2016,750,2,0.11,10754,PERFECTA WINES             
3_HORNSEY_5101,3,5101,Dr McGillicuddy's Mentholmnt,750mL,1,13.99,13.99,1/19/2016,750,1,0.79,8004,SAZERAC CO INC             
50_MOUNTMEND_126,50,126,Grey Goose Vodka,Liter,9,269.91,29.99,1/2/2016,1000,1,9.45,480,BACARDI USA INC            
22_SHARNWICK_1921,22,1921,Glenfiddich Special Rsv 12,1.75L,1,67.99,67.99,1/1/2016,1750,1,1.84,3664,WILLIAM GRANT & SONS INC   
11_CARDEND_3253,11,3253,Gilbeys London Dry,1.75L,5,62.45,12.49,2/5/2016,1750,1,9.19,12546,JIM BEAM BRANDS COMPANY    
7_STANMORE_14701,7,14701,Cupcake Red Velvet,750mL,1,8.49,8.49,1/6/2016,750,2,0.11,9815,WINE GROUP INC             
71_CLARCTON_41714,71,41714,Fish Eye Pnt Grigio,750mL,1,5.99,5.99,1/3/2016,750,2,0.11,9815,WINE GROUP INC             
19_WINTERVALE_3405,19,3405,Tito's Handmade Vodka,1.75L,4,119.96,29.99,1/9/2016,1750,1,7.35,4425,MARTIGNETTI COMPANIES
6_GOULCREST_8096,6,8096,Beefeater Gin,50mL,4,7.96,1.99,1/31/2016,50,1,0.21,17035,PERNOD RICARD USA          
19_WINTERVALE_16794,19,16794,Freakshow Cab Svgn,750mL,1,18.99,18.99,2/17/2016,750,2,0.11,4425,MARTIGNETTI COMPANIES
47_PELLA'S WISH_8599,47,8599,Jenkins Amaretto,750mL,5,29.95,5.99,1/15/2016,750,1,3.94,9552,M S WALKER INC             
60_IRRAGIN_5725,60,5725,DeKuyper Sour Apple Pucker,750mL,2,21.98,10.99,1/16/2016,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    
47_PELLA'S WISH_8627,47,8627,Jadot Beaujolais Villages,750mL,1,9.99,9.99,1/25/2016,750,2,0.11,4692,KOBRAND CORPORATION        
1_HARDERSFIELD_5661,1,5661,Dr McGillicuddy's Root Beer,750mL,1,13.99,13.99,1/7/2016,750,1,0.79,8004,SAZERAC CO INC             
